title,release_date,maturity_rating,genre,rating,directors,stars,votes
Metal Gear Solid,2000,E,['Action' ' Adventure' ' Sci-Fi'],9.1,['Shinta Nojiri'],,1172
Cactus McCoy and the Curse of Thorns,2011,,['Action' ' Adventure' ' Fantasy'],9.1,,,7
Master of Orion II: Battle at Antares,1996,,Sci-Fi,9.1,,,147
Batman: Arkham Knight,2015,M,['Action' ' Adventure' ' Crime'],9.0,['Sefton Hill'],['Carlos Alazraqui' ' Laura Bailey' ' Troy Baker' ' Jonathan Banks'],20797
Horizon Zero Dawn,2017,T,['Action' ' Adventure' ' Sci-Fi'],9.0,['Mathijs de Jonge'],['Ashly Burch' ' Laura van Tol' ' Ava Potter' ' JB Blanc'],16268
Resident Evil 2,2019,M,['Action' ' Crime' ' Horror'],9.0,['Yasuhiro Anpo' ' Kazunori Kadoi'],"['Nick Apostolides' ' Stephanie Panisello' ' Jolene Andersen'
 ' Eliza Pryor']",8028
Final Fantasy VII Remake,2020,T,['Action' ' Adventure' ' Drama'],9.0,['Tetsuya Nomura'],['Cody Christian' ' Briana White' ' Britt Baron' ' John Eric Bentley'],4230
Assassin's Creed II,2009,M,['Action' ' Adventure' ' Sci-Fi'],9.0,['Sylvain Bernard' ' Shea Wageman'],['Roger Craig Smith' ' Kristen Bell' ' Nolan North' ' Fred Tatasciore'],24108
Uncharted 3: Drake's Deception,2011,T,['Action' ' Adventure' ' Fantasy'],9.0,['Amy Hennig' ' Justin Richmond'],['Nolan North' ' Richard McGonagle' ' Emily Rose' ' Claudia Black'],23090
Call of Duty 4: Modern Warfare,2007,M,['Action' ' Thriller'],9.0,['Jason West'],['Billy Murray' ' Craig Fairbrass' ' David Sobolov' ' Mark Grigsby'],23236
The Elder Scrolls IV: Oblivion,2006,T,['Action' ' Adventure' ' Fantasy'],9.0,['Todd Howard'],['Sean Bean' ' Lynda Carter' ' Terence Stamp' ' Patrick Stewart'],12565
Metal Gear Solid 2: Sons of Liberty,2001,M,['Action' ' Adventure' ' Drama'],9.0,['Hideo Kojima'],['David Hayter' ' Quinton Flynn' ' Christopher Randolph' ' Lara Cody'],8732
Xenoblade Chronicles 3,2022,T,['Action' ' Adventure' ' Drama'],9.0,['Ko Kojima' ' Genki Yokota' ' Tetsuya Takahashi'],['Ryôhei Arai' ' Minami Tsuda' ' Kohsuke Tanabe' ' Ryohei Kimura'],257
Silent Hill,1999,M,['Drama' ' Horror' ' Mystery'],9.0,['Keiichiro Toyama'],['Michael Guinn' ' Susan Papa' ' Thessaly Lerner' ' Jarion Monroe'],5884
Resident Evil,2002,M,['Action' ' Horror' ' Mystery'],9.0,['Shinji Mikami'],['Joe Whyte' ' Heidi Anderson-Swan' ' Ed Smaron' ' Hope Levy'],4386
Scarface: Money. Power. Respect.,2006,M,Action,9.0,,['Al Pacino'],332
The Legend of Zelda: Majora's Mask,2000,E,['Action' ' Adventure' ' Family'],9.0,['Eiji Aonuma' ' Yoshiaki Koizumi'],['Fujiko Takimoto' ' Sachi Matsumoto' ' Kôji Tobe' ' Mari Maruta'],3809
The Legend of Zelda: Twilight Princess,2006,T,['Action' ' Adventure' ' Fantasy'],9.0,['Eiji Aonuma'],['Akira Sasanuma' ' Akiko Kômoto' ' Hironori Miyata' ' Junji Kitajima'],5173
Assassin's Creed: The Ezio Collection,2016,M,['Action' ' Adventure' ' Fantasy'],9.0,,['Roger Craig Smith' ' Nolan North' ' Fred Tatasciore' ' Carlos Ferro'],878
